Edad simple;Sexo;Provincias;Periodo;Total
Todas las edades;Total;08 Barcelona;1 de enero de 2018;5.556.273
Todas las edades;Total;08 Barcelona;1 de enero de 2017;5.507.412
Todas las edades;Total;08 Barcelona;1 de enero de 2016;5.472.926
Todas las edades;Total;08 Barcelona;1 de enero de 2015;5.453.143
Todas las edades;Total;08 Barcelona;1 de enero de 2014;5.459.762
Todas las edades;Total;08 Barcelona;1 de enero de 2013;5.500.080
Todas las edades;Total;08 Barcelona;1 de enero de 2012;5.518.276
Todas las edades;Total;48 Bizkaia;1 de enero de 2021;1.153.635
Todas las edades;Total;48 Bizkaia;1 de enero de 2020;1.154.696
Todas las edades;Total;48 Bizkaia;1 de enero de 2019;1.147.589
Todas las edades;Total;48 Bizkaia;1 de enero de 2018;1.143.742
Todas las edades;Total;48 Bizkaia;1 de enero de 2017;1.141.564
Todas las edades;Total;48 Bizkaia;1 de enero de 2016;1.140.191
Todas las edades;Total;48 Bizkaia;1 de enero de 2015;1.141.400
Todas las edades;Total;48 Bizkaia;1 de enero de 2014;1.143.121
Todas las edades;Total;48 Bizkaia;1 de enero de 2013;1.150.032
Todas las edades;Total;48 Bizkaia;1 de enero de 2012;1.155.709
Todas las edades;Total;09 Burgos;1 de enero de 2021;356.042
Todas las edades;Total;09 Burgos;1 de enero de 2020;357.121
Todas las edades;Total;09 Burgos;1 de enero de 2019;356.607
Todas las edades;Total;09 Burgos;1 de enero de 2018;357.165
Todas las edades;Total;09 Burgos;1 de enero de 2017;358.416
Todas las edades;Total;09 Burgos;1 de enero de 2016;360.572
Todas las edades;Total;09 Burgos;1 de enero de 2015;363.328
Todas las edades;Total;09 Burgos;1 de enero de 2014;365.542
Todas las edades;Total;09 Burgos;1 de enero de 2013;368.784
Todas las edades;Total;09 Burgos;1 de enero de 2012;372.190
Todas las edades;Total;10 Cáceres;1 de enero de 2021;390.544
Todas las edades;Total;10 Cáceres;1 de enero de 2020;392.925
Todas las edades;Total;10 Cáceres;1 de enero de 2019;394.541
Todas las edades;Total;10 Cáceres;1 de enero de 2018;396.979
Todas las edades;Total;10 Cáceres;1 de enero de 2017;400.066
Todas las edades;Total;10 Cáceres;1 de enero de 2016;403.183
Todas las edades;Total;10 Cáceres;1 de enero de 2015;405.967
Todas las edades;Total;10 Cáceres;1 de enero de 2014;408.011
Todas las edades;Total;10 Cáceres;1 de enero de 2013;410.135
Todas las edades;Total;10 Cáceres;1 de enero de 2012;412.501
Todas las edades;Total;11 Cádiz;1 de enero de 2021;1.249.873
Todas las edades;Total;11 Cádiz;1 de enero de 2020;1.247.160
Todas las edades;Total;11 Cádiz;1 de enero de 2019;1.243.186
Todas las edades;Total;11 Cádiz;1 de enero de 2018;1.243.737
Todas las edades;Total;11 Cádiz;1 de enero de 2017;1.244.090
Todas las edades;Total;11 Cádiz;1 de enero de 2016;1.244.475
Todas las edades;Total;11 Cádiz;1 de enero de 2015;1.245.567
Todas las edades;Total;11 Cádiz;1 de enero de 2014;1.245.504
Todas las edades;Total;11 Cádiz;1 de enero de 2013;1.246.384
Todas las edades;Total;11 Cádiz;1 de enero de 2012;1.245.363
Todas las edades;Total;39 Cantabria;1 de enero de 2021;584.708
Todas las edades;Total;39 Cantabria;1 de enero de 2020;583.011
Todas las edades;Total;39 Cantabria;1 de enero de 2019;581.989
Todas las edades;Total;39 Cantabria;1 de enero de 2018;581.533
Todas las edades;Total;39 Cantabria;1 de enero de 2017;581.421
Todas las edades;Total;39 Cantabria;1 de enero de 2016;582.494
Todas las edades;Total;39 Cantabria;1 de enero de 2015;585.184
Todas las edades;Total;39 Cantabria;1 de enero de 2014;587.491
Todas las edades;Total;39 Cantabria;1 de enero de 2013;589.789
Todas las edades;Total;39 Cantabria;1 de enero de 2012;592.387
Todas las edades;Total;12 Castellón/Castelló;1 de enero de 2021;587.632
Todas las edades;Total;12 Castellón/Castelló;1 de enero de 2020;584.201
Todas las edades;Total;12 Castellón/Castelló;1 de enero de 2019;579.592
Todas las edades;Total;12 Castellón/Castelló;1 de enero de 2018;576.342
Todas las edades;Total;12 Castellón/Castelló;1 de enero de 2017;575.433
Todas las edades;Total;12 Castellón/Castelló;1 de enero de 2016;575.546
Todas las edades;Total;12 Castellón/Castelló;1 de enero de 2015;577.738
Todas las edades;Total;12 Castellón/Castelló;1 de enero de 2014;580.349
Todas las edades;Total;12 Castellón/Castelló;1 de enero de 2013;586.696
