Diagnóstico_ID,Año,Diagnóstico,Sexo,Provincia,Provincia_ID,Hospitalizaciones
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,A Coruña,15,7915
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Albacete,2,1781
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Alicante,3,7959
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Almería,4,3282
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Asturias,33,8641
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Badajoz,6,4126
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Barcelona,8,39262
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Bizkaia,48,6470
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Burgos,9,2370
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Cantabria,39,2972
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Castellón,12,4055
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Ceuta,51,486
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Ciudad Real,13,4042
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Cuenca,16,825
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Cáceres,10,3063
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Cádiz,11,6111
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Córdoba,14,3102
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Gipuzkoa,20,3291
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Girona,17,4161
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Granada,18,3853
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Guadalajara,19,1131
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Huelva,21,2251
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Huesca,22,1325
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Islas Baleares,7,5285
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Jaén,23,2599
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,La Rioja,26,1608
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Las Palmas,35,4725
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,León,24,4843
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Lleida,25,1975
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Lugo,27,1510
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Madrid,28,33490
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Melilla,52,278
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Murcia,30,6900
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Málaga,29,6805
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Navarra,31,3197
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Ourense,32,2159
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Palencia,34,1261
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Pontevedra,36,5011
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Salamanca,37,1782
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Santa Cruz de Tenerife,38,3930
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Segovia,40,497
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Sevilla,41,8114
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Soria,42,402
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Tarragona,43,6011
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Teruel,44,575
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Toledo,45,5111
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Valencia,46,14118
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Valladolid,47,4080
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Zamora,49,1580
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Zaragoza,50,6439
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Álava,1,1648
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Ávila,5,1191
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,A Coruña,15,2017
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Albacete,2,332
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Alicante,3,2427
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Almería,4,745
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Asturias,33,2309
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Badajoz,6,540
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Barcelona,8,10850
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Bizkaia,48,1560
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Burgos,9,792
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Cantabria,39,857
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Castellón,12,488
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Ceuta,51,52
1,2013,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Ciudad Real,13,582
