Diagnóstico_ID,Año,Diagnóstico,Sexo,Provincia,Provincia_ID,Hospitalizaciones
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Cádiz,11,1265
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Córdoba,14,537
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Gipuzkoa,20,1653
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Girona,17,1268
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Granada,18,678
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Guadalajara,19,211
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Huelva,21,447
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Huesca,22,310
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Islas Baleares,7,2660
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Jaén,23,632
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,La Rioja,26,439
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Las Palmas,35,2607
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,León,24,919
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Lleida,25,564
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Lugo,27,363
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Madrid,28,11219
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Melilla,52,68
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Murcia,30,2302
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Málaga,29,2334
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Navarra,31,1987
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Ourense,32,407
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Palencia,34,148
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Pontevedra,36,1807
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Salamanca,37,543
