Diagnóstico,Provincia,Sexo,Hospitalizaciones,Habitantes,Porcentaje_H,Metales Pesados,Indice_Contaminación
"Neoplasia maligna de tráquea, bronquios y pulmón",Ciudad Real,Hombres,3158,262148,1.2,4.3717,11.86631
"Neoplasia maligna de tráquea, bronquios y pulmón",Ciudad Real,Mujeres,527,264134,0.2,4.3717,11.86631
"Neoplasia maligna de tráquea, bronquios y pulmón",Cuenca,Hombres,757,108781,0.7,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Cuenca,Mujeres,59,105971,0.06,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Guadalajara,Hombres,603,132200,0.46,3.2630999999999997,5.2560400000000005
"Neoplasia maligna de tráquea, bronquios y pulmón",Guadalajara,Mujeres,122,125531,0.1,3.2630999999999997,5.2560400000000005
"Neoplasia maligna de tráquea, bronquios y pulmón",Toledo,Hombres,4730,358439,1.32,2.9287,6.33242
"Neoplasia maligna de tráquea, bronquios y pulmón",Toledo,Mujeres,926,347143,0.27,2.9287,6.33242
"Neoplasia maligna de tráquea, bronquios y pulmón",Barcelona,Hombres,38147,2703747,1.41,5.6978,15.95868
"Neoplasia maligna de tráquea, bronquios y pulmón",Barcelona,Mujeres,9746,2814529,0.35,5.6978,15.95868
"Neoplasia maligna de tráquea, bronquios y pulmón",Girona,Hombres,4078,378879,1.08,3.4097999999999997,12.32667
"Neoplasia maligna de tráquea, bronquios y pulmón",Girona,Mujeres,787,372721,0.21,3.4097999999999997,12.32667
"Neoplasia maligna de tráquea, bronquios y pulmón",Lleida,Hombres,2623,223077,1.18,3.2177000000000002,14.171609999999998
"Neoplasia maligna de tráquea, bronquios y pulmón",Lleida,Mujeres,451,215135,0.21,3.2177000000000002,14.171609999999998
"Neoplasia maligna de tráquea, bronquios y pulmón",Tarragona,Hombres,5422,407510,1.33,4.3608,12.83207
"Neoplasia maligna de tráquea, bronquios y pulmón",Tarragona,Mujeres,1336,399394,0.33,4.3608,12.83207
"Neoplasia maligna de tráquea, bronquios y pulmón",Alicante,Hombres,9855,924452,1.07,3.5353,13.309829999999998
"Neoplasia maligna de tráquea, bronquios y pulmón",Alicante,Mujeres,3010,928757,0.32,3.5353,13.309829999999998
"Neoplasia maligna de tráquea, bronquios y pulmón",Castellón,Hombres,4259,297669,1.43,3.1679,12.65228
"Neoplasia maligna de tráquea, bronquios y pulmón",Castellón,Mujeres,870,296255,0.29,3.1679,12.65228
"Neoplasia maligna de tráquea, bronquios y pulmón",Valencia,Hombres,14218,1265539,1.12,2.9603,12.747850000000001
"Neoplasia maligna de tráquea, bronquios y pulmón",Valencia,Mujeres,3067,1296975,0.24,2.9603,12.747850000000001
"Neoplasia maligna de tráquea, bronquios y pulmón",Badajoz,Hombres,4916,343428,1.43,5.2046,8.39911
"Neoplasia maligna de tráquea, bronquios y pulmón",Badajoz,Mujeres,701,348413,0.2,5.2046,8.39911
"Neoplasia maligna de tráquea, bronquios y pulmón",Cáceres,Hombres,2861,206095,1.39,5.1063,9.82273
"Neoplasia maligna de tráquea, bronquios y pulmón",Cáceres,Mujeres,427,206406,0.21,5.1063,9.82273
"Neoplasia maligna de tráquea, bronquios y pulmón",A Coruña,Hombres,9320,549265,1.7,3.2630999999999997,12.468110000000001
"Neoplasia maligna de tráquea, bronquios y pulmón",A Coruña,Mujeres,1792,591913,0.3,3.2630999999999997,12.468110000000001
"Neoplasia maligna de tráquea, bronquios y pulmón",Lugo,Hombres,1664,169176,0.98,3.2630999999999997,7.02206
"Neoplasia maligna de tráquea, bronquios y pulmón",Lugo,Mujeres,414,178452,0.23,3.2630999999999997,7.02206
"Neoplasia maligna de tráquea, bronquios y pulmón",Ourense,Hombres,2091,158517,1.32,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Ourense,Mujeres,607,169670,0.36,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Pontevedra,Hombres,4662,463897,1.0,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Pontevedra,Mujeres,1246,491025,0.25,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Madrid,Hombres,33360,3097459,1.08,4.6842,12.361179999999997
"Neoplasia maligna de tráquea, bronquios y pulmón",Madrid,Mujeres,10653,3328114,0.32,4.6842,12.361179999999997
"Neoplasia maligna de tráquea, bronquios y pulmón",Murcia,Hombres,6754,737239,0.92,2.5646,13.12825
"Neoplasia maligna de tráquea, bronquios y pulmón",Murcia,Mujeres,1229,724690,0.17,2.5646,13.12825
"Neoplasia maligna de tráquea, bronquios y pulmón",Navarra,Hombres,3143,319090,0.98,3.2630999999999997,11.82105
"Neoplasia maligna de tráquea, bronquios y pulmón",Navarra,Mujeres,1105,320933,0.34,3.2630999999999997,11.82105
"Neoplasia maligna de tráquea, bronquios y pulmón",Álava,Hombres,1144,159551,0.72,2.9381,9.21949
"Neoplasia maligna de tráquea, bronquios y pulmón",Álava,Mujeres,306,161015,0.19,2.9381,9.21949
"Neoplasia maligna de tráquea, bronquios y pulmón",Bizkaia,Hombres,6101,559733,1.09,10.496599999999999,11.787949999999999
"Neoplasia maligna de tráquea, bronquios y pulmón",Bizkaia,Mujeres,1606,595976,0.27,10.496599999999999,11.787949999999999
"Neoplasia maligna de tráquea, bronquios y pulmón",Gipuzkoa,Hombres,5256,346871,1.52,3.2630999999999997,10.795620000000001
"Neoplasia maligna de tráquea, bronquios y pulmón",Gipuzkoa,Mujeres,1415,361550,0.39,3.2630999999999997,10.795620000000001
"Neoplasia maligna de tráquea, bronquios y pulmón",La Rioja,Hombres,1843,160318,1.15,3.2630999999999997,11.02105
"Neoplasia maligna de tráquea, bronquios y pulmón",La Rioja,Mujeres,211,160633,0.13,3.2630999999999997,11.02105
Enfermedades de la circulación pulmonar,Almería,Hombres,1171,350979,0.33,5.455299999999999,14.133429999999999
Enfermedades de la circulación pulmonar,Almería,Mujeres,1100,338341,0.33,5.455299999999999,14.133429999999999
Enfermedades de la circulación pulmonar,Cádiz,Hombres,1228,620463,0.2,15.1766,15.8576
Enfermedades de la circulación pulmonar,Cádiz,Mujeres,1713,624899,0.27,15.1766,15.8576
Enfermedades de la circulación pulmonar,Córdoba,Hombres,1238,394505,0.31,4.0007,13.01471
Enfermedades de la circulación pulmonar,Córdoba,Mujeres,1362,408212,0.33,4.0007,13.01471
Enfermedades de la circulación pulmonar,Granada,Hombres,1905,458053,0.42,6.7975,19.43961
Enfermedades de la circulación pulmonar,Granada,Mujeres,2149,464408,0.46,6.7975,19.43961
Enfermedades de la circulación pulmonar,Huelva,Hombres,775,257850,0.3,6.4065,17.635229999999996
Enfermedades de la circulación pulmonar,Huelva,Mujeres,812,262130,0.31,6.4065,17.635229999999996
Enfermedades de la circulación pulmonar,Jaén,Hombres,729,333760,0.22,3.7175000000000002,17.232229999999998
Enfermedades de la circulación pulmonar,Jaén,Mujeres,1404,333500,0.42,3.7175000000000002,17.232229999999998
Enfermedades de la circulación pulmonar,Málaga,Hombres,2262,789052,0.29,3.6226,12.4383
Enfermedades de la circulación pulmonar,Málaga,Mujeres,2535,809085,0.31,3.6226,12.4383
Enfermedades de la circulación pulmonar,Sevilla,Hombres,2056,947826,0.22,3.792,15.827900000000001
Enfermedades de la circulación pulmonar,Sevilla,Mujeres,2183,984746,0.22,3.792,15.827900000000001
Enfermedades de la circulación pulmonar,Huesca,Hombres,377,114693,0.33,3.2630999999999997,10.09104
Enfermedades de la circulación pulmonar,Huesca,Mujeres,545,111128,0.49,3.2630999999999997,10.09104
Enfermedades de la circulación pulmonar,Teruel,Hombres,285,73240,0.39,3.2630999999999997,11.239230000000001
Enfermedades de la circulación pulmonar,Teruel,Mujeres,504,69678,0.72,3.2630999999999997,11.239230000000001
Enfermedades de la circulación pulmonar,Zaragoza,Hombres,2487,481700,0.52,3.2630999999999997,11.80884
Enfermedades de la circulación pulmonar,Zaragoza,Mujeres,2771,493351,0.56,3.2630999999999997,11.80884
Enfermedades de la circulación pulmonar,Asturias,Hombres,2366,515503,0.46,1.2296,9.72262
Enfermedades de la circulación pulmonar,Asturias,Mujeres,3097,558801,0.55,1.2296,9.72262
Enfermedades de la circulación pulmonar,Islas Baleares,Hombres,1326,552593,0.24,5.261100000000001,10.8823
Enfermedades de la circulación pulmonar,Islas Baleares,Mujeres,1445,548122,0.26,5.261100000000001,10.8823
Enfermedades de la circulación pulmonar,Las Palmas,Hombres,1019,546215,0.19,3.2630999999999997,11.81175
Enfermedades de la circulación pulmonar,Las Palmas,Mujeres,1545,542836,0.28,3.2630999999999997,11.81175
Enfermedades de la circulación pulmonar,Santa Cruz de Tenerife,Hombres,794,494731,0.16,3.2630999999999997,11.81175
Enfermedades de la circulación pulmonar,Santa Cruz de Tenerife,Mujeres,1834,502146,0.37,3.2630999999999997,11.81175
Enfermedades de la circulación pulmonar,Cantabria,Hombres,1174,290133,0.4,2.9034,11.64288
Enfermedades de la circulación pulmonar,Cantabria,Mujeres,1744,302254,0.58,2.9034,11.64288
Enfermedades de la circulación pulmonar,Ávila,Hombres,560,86617,0.65,3.2630999999999997,11.81175
Enfermedades de la circulación pulmonar,Ávila,Mujeres,743,84748,0.88,3.2630999999999997,11.81175
