Diagnóstico,Provincia,Sexo,Hospitalizaciones,Habitantes,Porcentaje_H,Metales Pesados,Indice_Contaminación
5,28,1,356,178452,0.2,3.2631,7.0221
5,33,0,810,158517,0.51,3.2631,11.8118
5,33,1,481,169670,0.28,3.2631,11.8118
5,35,0,1805,463897,0.39,3.2631,11.8118
5,35,1,1226,491025,0.25,3.2631,11.8118
5,29,0,9278,3097459,0.3,4.6842,12.3612
5,29,1,7008,3328114,0.21,4.6842,12.3612
5,30,0,3355,737239,0.46,2.5646,13.1282
5,30,1,2771,724690,0.38,2.5646,13.1282
5,32,0,1257,319090,0.39,3.2631,11.821
5,32,1,727,320933,0.23,3.2631,11.821
5,48,0,934,159551,0.59,2.9381,9.2195
5,48,1,536,161015,0.33,2.9381,9.2195
5,7,0,1673,559733,0.3,10.4966,11.7879
5,7,1,1129,595976,0.19,10.4966,11.7879
5,16,0,1384,346871,0.4,3.2631,10.7956
5,16,1,979,361550,0.27,3.2631,10.7956
5,24,0,494,160318,0.31,3.2631,11.021
5,24,1,215,160633,0.13,3.2631,11.021
8,3,0,7381,350979,2.1,5.4553,14.1334
8,3,1,4133,338341,1.22,5.4553,14.1334
8,14,0,11230,620463,1.81,15.1766,15.8576
8,14,1,7339,624899,1.17,15.1766,15.8576
8,15,0,8360,394505,2.12,4.0007,13.0147
8,15,1,5643,408212,1.38,4.0007,13.0147
8,18,0,8258,458053,1.8,6.7975,19.4396
8,18,1,4832,464408,1.04,6.7975,19.4396
8,20,0,4585,257850,1.78,6.4065,17.6352
8,20,1,3685,262130,1.41,6.4065,17.6352
8,23,0,6608,333760,1.98,3.7175,17.2322
8,23,1,3583,333500,1.07,3.7175,17.2322
8,31,0,12477,789052,1.58,3.6226,12.4383
8,31,1,8635,809085,1.07,3.6226,12.4383
8,39,0,12108,947826,1.28,3.792,15.8279
8,39,1,9156,984746,0.93,3.792,15.8279
8,21,0,2777,114693,2.42,3.2631,10.091
8,21,1,1742,111128,1.57,3.2631,10.091
8,42,0,2609,73240,3.56,3.2631,11.2392
8,42,1,1434,69678,2.06,3.2631,11.2392
8,47,0,14211,481700,2.95,3.2631,11.8088
8,47,1,10106,493351,2.05,3.2631,11.8088
8,4,0,14555,515503,2.82,1.2296,9.7226
8,4,1,9823,558801,1.76,1.2296,9.7226
8,22,0,15954,552593,2.89,5.2611,10.8823
8,22,1,10609,548122,1.94,5.2611,10.8823
8,25,0,10678,546215,1.95,3.2631,11.8118
8,25,1,9116,542836,1.68,3.2631,11.8118
8,37,0,11402,494731,2.3,3.2631,11.8118
8,37,1,10784,502146,2.15,3.2631,11.8118
8,9,0,5956,290133,2.05,2.9034,11.6429
8,9,1,4050,302254,1.34,2.9034,11.6429
8,49,0,2462,86617,2.84,3.2631,11.8118
8,49,1,1472,84748,1.74,3.2631,11.8118
8,8,0,7353,188155,3.91,3.2631,10.7
8,8,1,4594,184035,2.5,3.2631,10.7
8,26,0,10853,241096,4.5,1.8335,11.7992
8,26,1,7078,251727,2.81,1.8335,11.7992
8,34,0,2362,84416,2.8,3.2631,10.092
8,34,1,1619,85885,1.89,3.2631,10.092
8,36,0,4184,171226,2.44,3.2631,11.8118
8,36,1,2080,178399,1.17,3.2631,11.8118
8,38,0,2271,82478,2.75,3.2631,11.8118
8,38,1,1465,80458,1.82,3.2631,11.8118
8,40,0,2420,47977,5.04,1.6333,12.0589
8,40,1,1615,46486,3.47,1.6333,12.0589
8,45,0,8644,261249,3.31,1.1134,10.2299
8,45,1,5820,271394,2.14,1.1134,10.2299
8,46,0,3570,95062,3.76,1.5228,5.6478
8,46,1,2490,96244,2.59,1.5228,5.6478
8,1,0,4667,201085,2.32,3.2631,11.8118
8,1,1,2778,200505,1.39,3.2631,11.8118
8,11,0,7342,262148,2.8,4.3717,11.8663
8,11,1,4723,264134,1.79,4.3717,11.8663
8,12,0,2576,108781,2.37,3.2631,11.8118
8,12,1,1946,105971,1.84,3.2631,11.8118
8,19,0,3344,132200,2.53,3.2631,5.256
8,19,1,1772,125531,1.41,3.2631,5.256
8,43,0,10296,358439,2.87,2.9287,6.3324
8,43,1,6760,347143,1.95,2.9287,6.3324
8,6,0,61345,2703747,2.27,5.6978,15.9587
8,6,1,41629,2814529,1.48,5.6978,15.9587
8,17,0,7264,378879,1.92,3.4098,12.3267
8,17,1,5057,372721,1.36,3.4098,12.3267
8,27,0,5149,223077,2.31,3.2177,14.1716
8,27,1,3156,215135,1.47,3.2177,14.1716
8,41,0,9943,407510,2.44,4.3608,12.8321
8,41,1,6207,399394,1.55,4.3608,12.8321
8,2,0,18404,924452,1.99,3.5353,13.3098
8,2,1,12856,928757,1.38,3.5353,13.3098
8,10,0,7680,297669,2.58,3.1679,12.6523
8,10,1,4571,296255,1.54,3.1679,12.6523
8,44,0,27604,1265539,2.18,2.9603,12.7479
8,44,1,18277,1296975,1.41,2.9603,12.7479
8,5,0,8729,343428,2.54,5.2046,8.3991
8,5,1,5715,348413,1.64,5.2046,8.3991
8,13,0,5880,206095,2.85,5.1063,9.8227
8,13,1,3488,206406,1.69,5.1063,9.8227
8,0,0,15287,549265,2.78,3.2631,12.4681
8,0,1,9621,591913,1.63,3.2631,12.4681
8,28,0,5975,169176,3.53,3.2631,7.0221
8,28,1,3068,178452,1.72,3.2631,7.0221
8,33,0,7414,158517,4.68,3.2631,11.8118
8,33,1,5664,169670,3.34,3.2631,11.8118
8,35,0,15858,463897,3.42,3.2631,11.8118
8,35,1,11853,491025,2.41,3.2631,11.8118
8,29,0,83292,3097459,2.69,4.6842,12.3612
8,29,1,62753,3328114,1.89,4.6842,12.3612
8,30,0,17167,737239,2.33,2.5646,13.1282
8,30,1,11744,724690,1.62,2.5646,13.1282
8,32,0,7289,319090,2.28,3.2631,11.821
8,32,1,4819,320933,1.5,3.2631,11.821
8,48,0,3850,159551,2.41,2.9381,9.2195
8,48,1,2526,161015,1.57,2.9381,9.2195
8,7,0,10525,559733,1.88,10.4966,11.7879
8,7,1,7498,595976,1.26,10.4966,11.7879
8,16,0,9286,346871,2.68,3.2631,10.7956
8,16,1,6410,361550,1.77,3.2631,10.7956
8,24,0,4758,160318,2.97,3.2631,11.021
8,24,1,2666,160633,1.66,3.2631,11.021
5,3,0,21,350979,0.01,5.4553,14.1334
5,3,1,36,338341,0.01,5.4553,14.1334
5,14,0,68,620463,0.01,15.1766,15.8576
5,14,1,116,624899,0.02,15.1766,15.8576
5,15,0,103,394505,0.03,4.0007,13.0147
5,15,1,51,408212,0.01,4.0007,13.0147
5,18,0,319,458053,0.07,6.7975,19.4396
5,18,1,367,464408,0.08,6.7975,19.4396
5,20,0,5,257850,0.0,6.4065,17.6352
5,20,1,45,262130,0.02,6.4065,17.6352
5,23,0,62,333760,0.02,3.7175,17.2322
5,23,1,52,333500,0.02,3.7175,17.2322
5,31,0,185,789052,0.02,3.6226,12.4383
5,31,1,240,809085,0.03,3.6226,12.4383
5,39,0,139,947826,0.01,3.792,15.8279
5,39,1,266,984746,0.03,3.792,15.8279
5,21,0,54,114693,0.05,3.2631,10.091
5,21,1,20,111128,0.02,3.2631,10.091
5,42,0,29,73240,0.04,3.2631,11.2392
5,42,1,82,69678,0.12,3.2631,11.2392
5,47,0,412,481700,0.09,3.2631,11.8088
5,47,1,311,493351,0.06,3.2631,11.8088
5,4,0,191,515503,0.04,1.2296,9.7226
5,4,1,191,558801,0.03,1.2296,9.7226
5,22,0,255,552593,0.05,5.2611,10.8823
5,22,1,232,548122,0.04,5.2611,10.8823
5,25,0,162,546215,0.03,3.2631,11.8118
5,25,1,144,542836,0.03,3.2631,11.8118
5,37,0,108,494731,0.02,3.2631,11.8118
5,37,1,142,502146,0.03,3.2631,11.8118
5,9,0,194,290133,0.07,2.9034,11.6429
5,9,1,164,302254,0.05,2.9034,11.6429
5,49,0,10,86617,0.01,3.2631,11.8118
5,49,1,20,84748,0.02,3.2631,11.8118
5,8,0,223,188155,0.12,3.2631,10.7
5,8,1,173,184035,0.09,3.2631,10.7
5,26,0,30,241096,0.01,1.8335,11.7992
5,26,1,102,251727,0.04,1.8335,11.7992
5,34,0,81,84416,0.1,3.2631,10.092
5,34,1,48,85885,0.06,3.2631,10.092
5,36,0,33,171226,0.02,3.2631,11.8118
5,36,1,18,178399,0.01,3.2631,11.8118
5,38,0,12,82478,0.01,3.2631,11.8118
5,38,1,0,80458,0.0,3.2631,11.8118
5,40,0,22,47977,0.05,1.6333,12.0589
5,40,1,1,46486,0.0,1.6333,12.0589
5,45,0,271,261249,0.1,1.1134,10.2299
