Diagnóstico_ID,Año,Diagnóstico,Sexo,Provincia,Provincia_ID,Hospitalizaciones
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,A Coruña,15,6031
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Albacete,2,2112
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Alicante,3,958
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Almería,4,2566
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Asturias,33,6122
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Badajoz,6,4679
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Barcelona,8,3888
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Bizkaia,48,5295
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Burgos,9,2164
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Cantabria,39,2688
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Castellón,12,2847
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Ceuta,51,2450
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Ciudad Real,13,2941
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Cuenca,16,6040
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Cáceres,10,1956
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Cádiz,11,5105
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Córdoba,14,2642
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Gipuzkoa,20,261
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Girona,17,4593
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Granada,18,2672
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Guadalajara,19,8120
1,2021,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Huelva,21,2184
